id,ad_creative_body,pred_theme_sbert,gt_theme,moral_foundation,pred_theme_llms
423705782523098,"Looking for a food pantry or food distribution in Alabama or Mississippi?Need help finding a vaccine site?
  Do you need assistance setting up a vaccine appointment?
  
 

  Our friends at Team Vaccine can help. Just visit their site, www.jointeamvaccine.org or give them a call at 1-855-735-6676 for more info.",CovidPlan,VaccineRollout,none,CommunityServiceByCandidate
291994289645541,"Tested for safety and trusted by doctors, the COVID vaccine is extraordinarily effective. 💉",VaccineEfficacy,VaccineEfficacy,none,VaccineEfficacy
431417191653079,"Newsom's school vaccine mandate is one of the most radical vaccine proposals in the country.  
  
 

  We discuss the future of California schools and the rights of parents on the Rebel Base: https://youtu.be/rMAGercdfSE",VaccineMandate,VaccineMandate,authority/subversion,VaccineMandate
583662342880560,"Don't know if it is moral to take the COVID vaccine? Want a religious exemption for the vaccine? Want a biblical justification for taking/having taken the vaccine? Want to know what is at stake ethically with the vaccine beyond the decision whether or not to take it? Want to know how to change the biotech and pharmaceutical industry’s practices to avoid future moral dilemmas like those involving this vaccine and others? Then take a look at my recent videos that offer biblical responses to these issues (No, I am not an antivaxxer and these are not antivaxxer videos):
  
 

  Church Member Version:
  https://youtu.be/EwR6b-Rs_Ao
  Pastor & Scholar Version (3 Parts):
  https://youtu.be/L6cWuN2mr-0
  https://youtu.be/AzUmo-BeOAY
  https://youtu.be/TCpVPf7IzVE
  All Videos and PPT:
  http://www.ronaldmrothenberg.com/teaching-videos.html",VaccineReligion,VaccineReligion,none,VaccineReligion
1.20158E+15,"Take Your Best Shot | ""I'm fully vaccinated against COVID-19. Now what?"" Dr. David Persse, Chief Medical Officer for the City of Houston, talks about COVID-19 vaccine safety. 
  
 

  Learn more: http://ow.ly/YDAE50EEL19
  
 

  https://www.youtube.com/watch?v=SWM7AaZKX0E",VaccineEfficacy,VaccineEfficacy,none,VaccineEfficacy
372389210693318,Indiana Breaking: Morgan County cancels COVID-19 vaccine clinic due to low interest. Stay on top of this incident and other local breaking news with News Break.,VaccineStatus,VaccineRefusalNews,none,VaccineRefusalNews
940323673238764,"Colin Powell, 1st black secretary of state, passed away at 84 yrs old, was battling covid AND cancer. Lightfoot to Chicago police - no vaccine, no pay. Candace Parker led the Chicago Sky to their first-ever WNBA championship, The artist fka “Kanye” is now just “Ye”, Train riders watched a woman get raped and did nothing to help - did not even call 911. Americans and Canadians kidnapped in Haiti. Big Daddy Kane verzuz KRS-One and Colombia’s “cocaine hippos” go on birth control.",CovidEconomy,VaccineMandate,none,VaccineMandate
1.15487E+15,"BREAKING: The FBI told Judicial Watch in a response to a FOIA request that it has communications from Pfizer in an investigative file targeting Project Veritas. (In October 2021, Project Veritas, a nonprofit investigative journalism organization, published two viral stories about the Pfizer covid vaccine.)
  “It is disturbing to see that Pfizer evidently has the Biden FBI at its beck and call to target journalists at Project Veritas,” said Judicial Watch President Tom Fitton. “This development is especially concerning coming on the heels of the FBI’s outrageous Ashley Biden diary raid on the home of Project Veritas founder James O’Keefe.”
  READ: http://jwatch.us/S1iFJy
  
 

  #judicialwatch #projectveritas #jamesokeefe #biden #joebiden #fbi #pfizer #vaccine #vaccines #pfizervaccine #covid #FOIA",UrgentPoliticalAdvocacy,GovDistrust,authority/subversion,GovDistrust
4.73142E+15,Are you more likely to be struck by lightning or experience a serious side effect from the COVID vaccine?,VaccineSymptom,VaccineSymptom,none,VaccineSymptom
495010468306258,"5.2 million cases: This was the world's worst week for COVID infections.
  
 

  World Health Organization (WHO)'s Dr. Soumya Swaminathan discusses why people who think they're immune to COVID should care that the virus stops getting transmitted around the world.
  
 

  #GZEROWorld with Ian Bremmer: https://gzeromedia.com/gzero-world-with-ian-bremmer/vaccine-nationalism-could-prolong-the-pandemic",VaccineEfficacy,VaccineEquity,none,VaccineEquity
1.02553E+15,"""1 in 500 Americans have died from COVID-19. Over 660,000 individuals have died in the U.S. More than 4.6M worldwide. We have the tools to prevent deaths and severe illness: vaccines, testing, masks + distance + improving ventilation in public spaces.""
  
 

  Source: The Johns Hopkins Center for Health Security: https://buff.ly/2VK61Yu
  
 

  What’s your why for receiving the COVID-19 vaccine?
  
 

  𝗧𝗼 𝘀𝗰𝗵𝗲𝗱𝘂𝗹𝗲 𝘆𝗼𝘂𝗿 𝘃𝗮𝗰𝗰𝗶𝗻𝗮𝘁𝗶𝗼𝗻 𝘁𝗼𝗱𝗮𝘆 𝘁𝗵𝗿𝗼𝘂𝗴𝗵 𝗖𝘂𝗲𝗿𝗼 𝗙𝗮𝗺𝗶𝗹𝘆 𝗖𝗹𝗶𝗻𝗶𝗰𝘀, 𝗽𝗹𝗲𝗮𝘀𝗲 𝗰𝗮𝗹𝗹 𝟯𝟲𝟭.𝟮𝟳𝟱.𝟬𝟭𝟳𝟬.
  
 

  𝘛𝘰 𝘭𝘦𝘢𝘳𝘯 𝘮𝘰𝘳𝘦, 𝘷𝘪𝘴𝘪𝘵 www.WhyVaxNow.com.
  
 

  #WhyVaxNow #WeCanDoThis",VaccineEfficacy,EncourageVaccination,none,EncourageVaccination
579019999988735,SC Pediatricians agree—the vaccine is safe and effective for children 5 years of age and older. Get them vaccinated today! #VaxSC,VaccineRollout,VaccineEfficacy,none,VaccineRollout
632585098125327,"U.S. Army says soldiers who refuse COVID-19 vaccine could be dismissed. See how the right-, middle- and left- news media are covering the story: https://bit.ly/39bFqXE",VaccineMandate,VaccineMandate,liberty/oppression,VaccineMandate
917105868896162,"All federal workers must receive the COVID vaccine. See how the right-, middle- and left- news media are covering the story: https://bit.ly/2X1LCyZ",VaccineMandate,VaccineMandate,liberty/oppression,VaccineMandate
730906017885049,"Louisiana’s attorney general is scrutinizing some colleges’ vaccine policies to ensure they don’t coerce students who object to getting the shot, even as concerns rise about the spread of the Delta variant and the resulting spike in COVID-19 cases around the state.",VaccineMandate,VaccineMandate,liberty/oppression,VaccineMandate
606348493683919,"VERN BUCHANAN (R-FL16) DECLINES TO URGE COVID VACCINES
  
 

  Representative Vern Buchanan (R-FL16) was fully vaccinated but still suffered mild Covid symptoms last month. While he credits the vaccine for having made a ""huge difference"" for him, Buchanan declines to urge others to get vaccinated: “They gotta make their own decision. It’s a personal thing.”",VaccineEfficacy,VaccineMandate,liberty/oppression,VaccineRefusalNews
4.00022E+15,"HAPPENING NOW: DHEC is LIVE at the Community Vaccination Center at Columbia Place Mall, 7201 Two Notch Road, Columbia. This site is offering Pfizer COVID-19 vaccines 7 days a week from 7 a.m. to 7 p.m. 
  
 

  Everyone 16+ is eligible and there are Spanish and Sign Language interpreters on site!
  
 

  No appointment, insurance or ID is required!
  
 

  For more info, call 1-866-365-8110.",CovidPlan,EncourageVaccination,none,EncourageVaccination
878970823048031,"Immunize Nevada is hosting a COVID-19 vaccine clinic for those 12+ with the Janssen, Moderna and Pfizer COVID-19 vaccines.
  
 

  Manse Elementary School | 12+ COVID-19 Vaccine Clinic | No appointment necessary",EncourageVaccination,EncourageVaccination,none,EncourageVaccination
1.04718E+15,"Delivering for our community everyday. Improving access and availability of the COVID 19 vaccine, expanding early childhood education opportunities, and preventing wildfires before they begin. That's just the start.",VaccineEquity,CovidPlan,authority/subversion,CovidPlan
206440048164007,"As major nations plan to invest in a third COVID-19 shot, vaccine makers like Pfizer and Moderna will likely see a surge in demand.",VaccineDevelopment,VaccineDevelopment,none,VaccineDevelopment
457617442379465,Do you have a child between the age of 5 to 11? The Stamford Department of Health wants to know what you think about the COVID-19 vaccine for kids.,VaccineRollout,VaccineRollout,none,VaccineRollout
652422032423210,"Gov. Ron DeSantis is soft on COVID -- and he’s on the wrong side of climate change, voting rights, and reproductive rights. 
  
 

  The polls have Charlie Crist neck and neck with Gov. DeSantis, and the election’s not far away. Pitch in $5 to Charlie’s campaign!",UrgentPoliticalAdvocacy,UrgentPoliticalAdvocacy,authority/subversion,UrgentPoliticalAdvocacy
2.62383E+15,"With the Pfizer vaccine approved, vaccine opponents are moving the goalposts. Read more in our latest blog post.",VaccineEfficacy,VaccineStatus,none,VaccineMisinformation
249255797056862,Parents: Get your child vaccinated against COVID-19 before school starts! 12- to 17-year-olds can get the Pfizer vaccine.,VaccineRollout,VaccineRollout,none,VaccineRollout
167703372044177,"""Yeah they're scared! They said [COVID gave them] the worst feeling they ever experienced in their life. I didn’t want to be at risk anymore."" Bryant just decided to get his first vaccine shot after family members and co-workers went to the hospital. He's looking forward to his second. #GotMyShotSEIU",VaccineEfficacy,EncourageVaccination,loyalty/betrayal,EncourageVaccination
220967156522537,"With the lives of long term care staff and residents on the line, it’s important that you have the facts you need to make informed decisions around vaccinations. See what medical experts have to say about the COVID-19 vaccines: https://getvaccinated.us/vaccine-facts/ #GetVaccinated",VaccineEfficacy,VaccineEfficacy,none,VaccineEfficacy
3.09761E+15,"We should all be alarmed about technocensorship.
  ___
  
 

  Rutherford Institute Challenges Facebook's Censorship of COVID-19 Vaccine Critics 
  
 

  Warning against the rising threat to free speech posed by the government’s collusion with large technology companies in order to regulate and control what ideas can be shared on the internet and through social media, The Rutherford Institute has asked a federal appeals court to reverse a lower court ruling and prohibit Facebook from censoring and de-platforming critics of the COVID-19 vaccine in violation of the First Amendment. 
  
 

  In calling on the Ninth Circuit Court of Appeals to allow the lawsuit in Children’s Health Defense v. Facebook to move forward, Rutherford Institute attorneys argue that Facebook acted in concert with U.S. government officials and agencies to suppress and punish Children’s Health Defense for sharing information critical of the COVID-19 vaccine.
  
 

  “We should all be alarmed when prominent social media voices are censored, silenced and made to disappear from Facebook, Twitter, YouTube and Instagram for voicing ideas that are deemed politically incorrect, hateful, dangerous, extremist or conspiratorial,” said constitutional attorney John W. Whitehead, president of The Rutherford Institute and author of Battlefield America: The War on the American People. “At some point, depending on how the government and its corporate allies define what constitutes ‘extremism,’ we might all be considered guilty of some thought crime or other and subjected to technocensorship.”
  
 

  Click below to read more. And as always, please help us speak truth to power: like, share, comment and donate to The Rutherford Institute to keep this good work going. The Rutherford Institute, a nonprofit civil liberties organization, defends individuals whose constitutional rights have been violated and educates the public about threats to their freedoms.",VaccineMandate,GovDistrust,authority/subversion,GovDistrust
521428895719184,North Carolina Breaking: Gov. announces four chances to win $1M with COVID-19 vaccine lottery. Stay on top of this incident and other local breaking news with News Break.,VaccineRollout,EncourageVaccination,none,EncourageVaccination
991736854915502,It’s everyone’s turn. You wouldn’t drive your kids to school without the protection of seatbelts. Protect your loved ones 12 and older by getting the COVID-19 vaccine. #SleeveUpLB,VaccineEquity,EncourageVaccination,loyalty/betrayal,EncourageVaccination
292571622527760,"✨ Your Gift Now TRIPLED ✨ From calling for equitable distribution of the Covid-19 vaccine, to urging governments to protect the rights of people with disabilities – we will never stop working towards justice and dignity for all. Please support us today with a gift and it will be matched 3X!",VaccineEquity,VaccineEquity,fairness/cheating,VaccineEquity
294852252146497,AHC wants to be sure that you have the accurate information that you need. We are offering a COVID Vaccine Answer Line. Anyone with questions about COVID vaccines can call (989) 736-9819 to have a one on one conversation about their concerns. (Typically this will be a scheduled call back from a Care Manager RN) You do not need to be an established patient to use this free service.,VaccineEfficacy,EncourageVaccination,none,EncourageVaccination
291963795678197,The Wisconsin Department of Health Services has announced additional vaccine eligibility for people with certain medical conditions. Click this link to find out if you are eligible and how you can schedule an appointment in Green County. Eligible Wisconsinites should also check about getting the vaccine through their primary healthcare provider or a local pharmacy.,CovidPlan,VaccineRollout,none,VaccineRollout
677354429893848,"Getting vaccinated is one of the most important things we can do to stay safe, return to normal, and protect our friends and neighbors who can’t receive the vaccine for health reasons. Why did you get vaccinated?",VaccineEfficacy,EncourageVaccination,loyalty/betrayal,EncourageVaccination
301337571873507,"Immunize Nevada, in partnership with Great Basin College, is hosting a COVID-19 vaccine clinic for those 5+ with the Janssen, Moderna and Pfizer COVID-19 vaccines.  
  
 

  This clinic will have first, second, third and booster doses available.  
  
 

  The standard dose flu vaccine for those 3-64 years of age will also be available.
  
 

  Great Basin College | | Flu & 5+ COVID-19 Vaccine Clinic | No appointment necessary",EncourageVaccination,EncourageVaccination,none,EncourageVaccination
424923008961986,"Mosquito-borne illnesses have killed over 52 billion people – more than all wars in history combined. 
  
 

  A new vaccine might end the slaughter.",VaccineEfficacy,VaccineEfficacy,none,VaccineEfficacy
1.51295E+15,"Katalin Karikó is the fourth female STEM pioneer we are celebrating with a trading card.
  
 

  The New York Times called Dr. Karikó “one of the heroes of COVID-19 vaccine development.” After years of studying messenger RNA in relative obscurity, her pioneering research came into the spotlight in 2020 after it paved the way for the development of a COVID-19 vaccine.
  
 

  #AdaLovelace #AdaLovelaceDay #STEM",VaccineDevelopment,VaccineDevelopment,none,VaccineDevelopment
1.88245E+15,"GET YOUR COVID-19 VAX ON THE SPOT at your local CVS Pharmacy. Molina Healthcare of Ohio Columbus Medicaid members! You’re invited to a Molina COVID-19 vaccine event at CVS on 4801 W Broad Street on Tuesday, August 10th from 8 a.m. to 8 p.m. Members will receive $100 for being vaccinated! Transportation is FREE for Molina members. To schedule a ride, call 866-642-9279. Visit www.COVIDVaxOnTheSPOT.com for more information.",EncourageVaccination,EncourageVaccination,none,EncourageVaccination
617797146076513,"Kyrie Irving versus Mayor Deblasio
  the vaccine showdown. Who's right?",VaccineEfficacy,VaccineMandate,none,VaccineMandate
797520880880337,"The longer it takes to vaccinate people around the world, the greater the risk to everyone as new COVID-19 variants have more opportunities to take hold. Doctors Without Borders applauds the Biden-Harris administration’s recent decision to support waiving intellectual property protections for COVID-19 vaccines. Add your name to join us in applauding President Biden for taking this critical first step toward helping end the pandemic for everyone, everywhere.",GovTrust,GovTrust,authority/subversion,VaccineEquity
550071915885486,"We can't wait to see you on Saturday, March 6th from 2-4pm for our Drive Thru event! Please share this with your friends and family in Arlington. It'll be located 
  
 

  So much going on here that we are excited for:
  ➡️Produce bags available for families in need until supplies last (2-3PM)
  ➡️Pick up yard signs & masks for the campaign
  ➡️Register for the COVID vaccine
  ➡️Register to vote
  ➡️Donate nonperishable food items & we will deliver those items to @missionarlington
  
 

  All details can be found on our site!
  
 

  Site: https://www.dianaforarlington.com/drive-thru",VaccineEquity,EncourageVaccination,loyalty/betrayal,EncourageVaccination
801197377455655,"Looking for a quick & easy way to get vaccinated? The Cook County Department of Public Health Illinois Action for Children #COVID19 Vaccine Clinic is Wednesday, June 23 from 2-6 pm at the location in the graphic below! Scan the QR Code & enter the passcode ""Iafc2021!"" (or visit https://meditab.in:4430/abslive/2/client_cimpar/) today!
  #VaxUpIL",CovidPlan,EncourageVaccination,none,EncourageVaccination
510093387113722,Join MomsRising and the CDC to discuss and answer frequently asked questions from parents about the kids’ COVID vaccine.,VaccineMisinformation,EncourageVaccination,none,VaccineRollout
413335310474109,"What do you think about Philadelphia mandating that indoor diners have Covid-19 vaccine papers?
  
 

  https://broadandliberty.com/2021/12/29/gabe-kaminsky-phillys-indoor-dining-vax-mandate-hurts-everyone/",VaccineMandate,VaccineMandate,liberty/oppression,VaccineMandate
543202329983554,"You can visit this website to start the process of setting up your COVID-19 vaccination.
  
 

  VaccineFinder is a free service where users can search for locations that offer vaccinations. They work with partners such as clinics, pharmacies and health departments to provide accurate and up-to-date information about vaccination services. VaccineFinder is operated by epidemiologists and software developers at Boston Children’s Hospital and supported by the Centers for Disease Control and Prevention and the United States Digital Service.
  
 

  https://vaccinefinder.org/?fbclid=IwAR3g7LgvCtfNbIgHSt9Qsq6MWNu_6dtduPESGx-kvoECD9Sj016q8uCaxyM",VaccineRollout,EncourageVaccination,none,EncourageVaccination
3.07696E+15,"Still need to get your COVID-19 vaccine? Visit Tideland Brewing at 4155 Dorchester Rd Suite C, North Charleston, SC for your shot and chase it with a free beer.",VaccineBrewIncentives,VaccineBrewIncentives,none,VaccineBrewIncentives
3.87436E+15,"Pennsylvania Breaking: Nearly Half Of Nursing Home Workers In Pennsylvania Have Declined COVID-19 Vaccine, State Data Shows. Stay on top of this incident and other local breaking news with News Break.",VaccineEfficacy,VaccineRefusalNews,none,VaccineRefusalNews
550455945995648,"We'd appreciate a moment of your time to understand your perspective on the COVID-19 vaccine.
  
 

  https://poll.app.do/covid-19-vaccination-3227936",VaccineMisinformation,none,none,VaccineStatus
206877528244856,"Most people trust their personal physician, even if they don't trust public institutions. Offer guidance on COVID vaccines.",VaccineEfficacy,EncourageVaccination,authority/subversion,EncourageVaccination
3.26097E+15,"The FDA authorized COVID-19 vaccine is safe, free, and widely available across the county. You don’t even need an appointment at most locations. Visit VaxOKC.com for more information and to find the location closest to you. Choose today.",VaccineDevelopment,VaccineEfficacy,none,EncourageVaccination
