id,ad_creative_body,gt_theme,stance,funding_entity,pred_theme_sbert,pred_theme_llms
263438685495511,"Colorado is our home. Since 2009, the oil and natural gas industry has generated over $1.3 billion dollars in tax revenue that supports parks, roads, and infrastructure for Colorado.",Economy_pro,0,Coloradans for Responsible Energy Development,Economy_pro,Economy_pro
158624669475438,The natural gas ban would kill local jobs and hurt Seattle families.,Economy_pro,0,Affordable Energy Coalition,Economy_pro,Economy_pro
189053756020816,"Under a natural gas and oil leasing and development ban, U.S. GDP would decline by a cumulative $700 billion through 2030 and nearly 1 million industry jobs would be lost by 2022. #EnergyConversations",Economy_pro,0,AMERICAN PETROLEUM INSTITUTE,Economy_pro,Economy_pro
1104650970291750,Technology can reliably and cleanly deliver renewable natural gas and hydrogen through existing natural gas infrastructure,ClimateSolution,0,Partnership for Energy Progress,ClimateSolution,ClimateSolution
334354498163838,"It’s time the business world put our world first. Over 100 companies are coming together to reach net zero carbon emissions by 2040.
  #TheClimatePledge #ChallengeAccepted",ClimateSolution,1,The Climate Pledge,PoliticalAffiliation,ClimateSolution
541548713541262,It’s time the business world put our world first. Over 100 companies are coming together to reach net zero carbon emissions by 2040. #TheClimatePledge #ChallengeAccepted,ClimateSolution,1,The Climate Pledge,PoliticalAffiliation,ClimateSolution
373673570319561,"Access to reliable, affordable, natural gas and oil makes modern life possible.",Pragmatism,0,Virginia Oil and Gas Association,Pragmatism,Pragmatism
1647216625670230,Affordable energy depends on American oil and gas production. What’s most important to you? Tell us today!,Pragmatism,0,EXXON MOBIL CORPORATION,Pragmatism,Pragmatism
177468041174091,"Uncertain times call for reliable, affordable access to energy. What’s most important to you about American oil and gas?",Pragmatism,0,EXXON MOBIL CORPORATION,Pragmatism,Pragmatism
477470210831818,"Greg Casar will fight for a bold, progressive agenda in Congress: affordable health care for all, tackling our climate crisis and making corporations pay their fair share. Progressive change is possible if we fight for it together.",AgainstCorporateInterests,1,GREG CASAR FOR CONGRESS,AgainstCorporateInterests,AgainstCorporateInterests
333192785281765,"Besides the obvious issues of higher costs of heating our homes and filling our gas tanks, US oil and natural gas production impacts so much more throughout our daily lives. Consider the global cost and availability of food due to limited supplies of fertilizer. The United States of America has rich supplies of natural gas right under our feet that can help produce these fertilizers. https://www.reuters.com/business/energy/nitrogen-fertilizer-shortage-threatens-cut-global-crop-yields-cf-industries-2021-11-04/",Patriotism,0,Virginia Oil and Gas Association,Patriotism,Patriotism
,Cutbacks on local oil & gas production would increase foreign oil imports and raise gas prices for Californians.,Patriotism,0,Californians for Energy Independence,Patriotism,Patriotism
352590196481619,"ENERGY ACTION ALERT: Sign the petition if you support affordable and reliable energy. Together, we can our voices heard and protect consumer choice.",Pragmatism,0,EXXON MOBIL CORPORATION,Patriotism,Pragmatism
574599140221795,"A new report by Institute for Energy Economics and Financial Analysis has found that the oil industry in Texas is in decline. If we want our state to prosper, #Texas lawmakers must now face reality and embrace the modernization of the state’s economy.
  
  We cannot allow ourselves to fall behind. The prosperity of our communities and our economy rely on planning for change.
  
  To read the full report, click here: https://bit.ly/IEEFAReport",Economy_pro,0,Commission Shift,Economy_pro,Economy_pro
478142300696422,The oil and gas industry is essential to the success of the Texas Economy. You can be sure I will continue to stand against radical Democrats and the Biden Administration who are attempting to destroy our oil and gas industry with their Green New Deal.,AgainstClimatePolicy,0,Ken King for State Representative,AgainstClimatePolicy,AgainstClimatePolicy
202468078705290,"750,000 Americans already work directly on generating clean power",Economy_clean,1,Climate Power Education Fund,Economy_clean,Economy_clean
480157256504786,"Investments in renewable energy would create a variety of jobs, including for those working in fossil fuel communities. Clean energy jobs will boost the economy in communities across America as they continue to reopen after Covid-19.",Economy_clean,1,Environmental Defense Action Fund,Economy_clean,Economy_clean
642652453398249,"Recent report finds clean energy investment creates more jobs than fossil fuels. How many more?
  
  
 

  Solar: More than 2.7X 
  Wind: More than 2.8X 
  Energy efficiency retrofits: Almost 3X!
  
  
 

  With its targeted investments into clean energy, the Build Back Better Act is America’s ticket to job growth, innovation, and international competitiveness.",Economy_clean,1,E2 (Environmental Entrepreneurs),Economy_clean,Economy_clean
486503792476295,"As Doctors Without Borders teams respond to many of the world’s most devastating crises—conflicts, disasters, disease outbreaks, and displacement—we are witnessing the consequences and impacts that climate change can have on vulnerable people around the world. 
  
  
 

  Environmental changes and climate-induced disasters have contributed to increased transmission of infectious diseases, including malaria, dengue, and cholera. Additionally, increased water scarcity and rising temperatures have contributed to malnutrition and acute dehydration. All of this has also taken a toll on the mental health of those impacted by extreme weather events. 
  
  
 

  In response, Doctors Without Borders has worked to adapt many of our medical programs to better respond to and withstand these challenges, including increasing disease and meteorological surveillance to update our emergency preparation for climate-related threats. 
  
  
 

  Climate change will continue to exacerbate health and humanitarian crises around the world. Your support can help us stay prepared to respond: donate today.",HumanHealth,1,Doctors Without Borders/Médecins Sans Frontières (MSF),HumanHealth,HumanHealth
623686132288746,"""Eighty-eight percent 'of the existing burden of disease attributable to climate change occurs in children younger than 5 years,' according to the World Health Organization (WHO). It’s a staggering data point that has received surprisingly little mainstream attention.""",FutureGeneration,1,Early Learning Nation,FutureGeneration,FutureGeneration
4329451270457480,"Climate change is the defining issue of our generation, and solving it requires listening to those who have been most affected by the climate crisis, including the voices and ideas of young people whose futures are being written by today's decisions.
  
  
 

  For the next five weeks, in the lead-up to the COP26, the U.N.’s climate change conference, we are celebrating 26 climate champions whose vision and work inspire hope — and real change.
  
  
 

  Meet the #SolvingIt26: http://SolvingIt26.com/",FutureGeneration,1,Doha Debates,FutureGeneration,FutureGeneration
927995024447225,"As this summer of devastating weather rolls on, scientists warn that unchecked climate change will make once-rare events more and more the norm.",Environmental,1,Environmental Defense Fund,Environmental,Environmental
1358063297884670,"The climate crisis is bringing unprecedented natural disasters—rising sea levels, floods, intense storms, droughts, heat waves and wildfires—to our front doors. These events imperil wildlife habitat and human communities alike and are forecasted to increase in severity and frequency.  
  
  
 

  But there’s reason for hope.  
  
  Learn more about how we’re tackling the complex challenges of climate change:",Environmental,1,"CONSERVATION FUND, A NONPROFIT CORPORATION, THE",Environmental,Environmental
